iter	Passed	Remaining
0	0	81
1	1	91
2	2	90
3	4	96
4	4	91
5	5	91
6	7	93
7	8	93
8	9	93
9	10	92
10	11	89
11	11	87
12	12	86
13	13	85
14	14	83
15	15	81
16	16	80
17	17	78
18	18	77
19	18	75
20	19	74
21	20	72
22	21	71
23	22	70
24	23	69
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	27	61
31	28	60
32	29	58
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	34	50
41	35	48
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	42
48	40	42
49	41	41
50	41	40
51	42	39
52	43	38
53	43	37
54	44	36
55	45	35
56	46	34
57	46	34
58	47	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	60	18
77	61	17
78	62	16
79	63	15
80	63	15
81	65	14
82	65	13
83	66	12
84	67	11
85	68	11
86	68	10
87	69	9
88	70	8
89	71	7
90	71	7
91	72	6
92	73	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
